index	words	occurrences
0	<unk>	783307
1	the	46144
2	of	22176
3	to	21468
4	a	19485
5	in	16320
6	and	15875
7	s	9140
8	for	8205
9	that	8157
10	is	6764
11	it	5601
12	said	5427
13	on	5120
14	at	4460
15	by	4410
16	as	4394
17	from	4279
18	with	4138
19	million	4123
20	mr	3859
21	are	3642
22	was	3619
23	be	3590
24	its	3467
25	he	3310
26	but	3220
27	has	3188
28	an	3156
29	nt	3133
30	have	3000
31	will	2993
32	new	2573
33	or	2460
34	company	2456
35	they	2352
36	year	2317
37	this	2228
38	which	2173
39	would	2113
40	about	2045
41	says	1978
42	more	1908
43	market	1829
44	us	1800
45	were	1779
46	their	1698
47	billion	1680
48	his	1644
49	up	1635
50	had	1631
51	one	1626
52	than	1589
53	some	1558
54	who	1539
55	been	1501
56	also	1485
57	stock	1449
58	other	1438
59	share	1396
60	corp	1340
61	not	1333
62	we	1263
63	inc	1230
64	i	1206
65	if	1173
66	when	1164
67	last	1160
68	years	1133
69	all	1127
70	shares	1121
71	president	1117
72	first	1104
73	two	1062
74	because	1056
75	trading	1045
76	could	1037
77	co	1017
78	after	1016
79	there	977
80	out	976
81	business	965
82	only	951
83	sales	950
84	such	930
85	do	925
86	can	904
87	most	895
88	york	888
89	over	886
90	into	882
91	may	867
92	many	854
93	group	851
94	no	829
95	companies	816
96	now	815
97	government	808
98	federal	786
99	time	782
100	so	781
101	bank	758
102	any	746
103	people	745
104	cents	745
105	exchange	726
106	what	718
107	you	717
108	even	712
109	prices	707
110	investors	704
111	say	703
112	price	702
113	quarter	685
114	week	679
115	under	668
116	down	668
117	much	668
118	while	665
119	big	652
120	rose	651
121	securities	650
122	them	650
123	months	649
124	interest	631
125	bonds	619
126	yesterday	609
127	state	608
128	three	606
129	next	605
130	make	600
131	earnings	588
132	earlier	586
133	american	579
134	investment	575
135	net	575
136	industry	572
137	these	571
138	chairman	570
139	just	570
140	through	570
141	board	569
142	did	566
143	financial	562
144	major	559
145	program	558
146	stocks	552
147	still	551
148	those	546
149	since	546
150	money	542
151	she	538
152	executive	536
153	made	534
154	chief	530
155	rate	526
156	officials	526
157	month	520
158	before	516
159	like	516
160	japanese	512
161	national	509
162	analysts	503
163	does	501
164	expected	500
165	unit	499
166	days	495
167	rates	481
168	off	481
169	house	478
170	plan	478
171	against	469
172	between	464
173	both	463
174	buy	461
175	recent	455
176	funds	452
177	issue	452
178	sell	452
179	get	444
180	general	443
181	her	443
182	income	441
183	own	440
184	profit	440
185	ago	436
186	capital	436
187	back	435
188	firm	434
189	average	433
190	japan	431
191	part	430
192	products	429
193	well	428
194	international	428
195	revenue	428
196	markets	427
197	during	423
198	debt	416
199	offer	414
200	should	413
201	another	413
202	court	413
203	each	411
204	higher	410
205	including	408
206	take	407
207	being	406
208	index	404
209	among	397
210	fell	395
211	tax	395
212	according	394
213	day	393
214	work	390
215	world	390
216	our	389
217	then	388
218	past	388
219	way	385
220	department	384
221	operations	379
222	end	379
223	high	377
224	how	377
225	reported	374
226	economic	374
227	lower	373
228	common	372
229	however	372
